,reservoir,order,yearmonth,density_cells/ml,m_avg_deep_temp,m_avg_surf_temp,m_avg_dissolved_oxygen,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,temp_diff
256,CBR,Chroococcales,200808,4157.219429310286,24.079310344827583,25.375,0.4327586206896552,23.15806451612903,1.0258064516129033,49257.15709677419,Ag,None,39.9485,-83.7459,1.295689655172417
257,CBR,Chroococcales,201308,192867.7558763931,22.166666666666668,23.9,0.29,21.9741935483871,1.6516129032258065,49284.25548387096,Ag,None,39.9485,-83.7459,1.7333333333333307
258,CBR,Chroococcales,201409,2561.0924446528497,21.775,24.4,0.3375,18.253333333333334,1.3766666666666665,44787.05,Ag,None,39.9485,-83.7459,2.625
259,CBR,Chroococcales,201507,2489.0973625015363,21.575,24.95,0.3125,22.177419354838708,3.3483870967741933,52850.25193548387,Ag,None,39.9485,-83.7459,3.375
260,CBR,Chroococcales,201706,114426.83817888901,20.11181818181818,22.72,0.9900000000000001,20.953333333333333,3.4166666666666665,53858.325,Ag,None,39.9485,-83.7459,2.6081818181818193
261,CBR,Chroococcales,201806,29196.517234012223,21.33818181818182,27.38375,1.8863636363636365,22.05666666666667,6.613333333333333,53854.67366666666,Ag,None,39.9485,-83.7459,6.0455681818181795
262,CBR,Chroococcales,201807,34458.863852400835,21.126153846153844,26.998333333333335,0.2653846153846154,22.925806451612903,3.987096774193548,52829.37225806452,Ag,None,39.9485,-83.7459,5.872179487179491
263,CBR,Chroococcales,201809,105690.74790387253,21.896315789473682,24.7575,2.1473684210526316,20.64333333333333,6.496666666666667,44783.44066666667,Ag,None,39.9485,-83.7459,2.861184210526318
264,CBR,Nostocales,199507,13.871473354,20.266666666666666,25.3,4.426666666666667,23.506451612903227,2.035483870967742,52865.12774193548,Ag,None,39.9485,-83.7459,5.033333333333335
265,CBR,Nostocales,199508,68.34653465299999,22.736,27.51,4.5680000000000005,24.664516129032258,5.593548387096774,49372.60258064516,Ag,None,39.9485,-83.7459,4.774000000000001
266,CBR,Nostocales,199509,225.498127341,22.38888888888889,24.175,6.188888888888888,17.636666666666667,0.9433333333333334,44850.15933333334,Ag,None,39.9485,-83.7459,1.7861111111111114
267,CBR,Nostocales,199806,74.45913461538476,20.824,22.880000000000003,2.948,21.006666666666668,5.763333333333334,53852.424666666666,Ag,None,39.9485,-83.7459,2.056000000000001
268,CBR,Nostocales,199807,12968.6538461538,24.189473684210526,25.825,0.994736842105263,22.729032258064517,1.8129032258064517,52842.46580645161,Ag,None,39.9485,-83.7459,1.6355263157894733
269,CBR,Nostocales,199809,3019.55617198336,23.045833333333334,23.55,3.6750000000000003,21.613333333333333,0.5466666666666666,44806.75266666667,Ag,None,39.9485,-83.7459,0.5041666666666664
270,CBR,Nostocales,199906,113.19633333333333,20.241666666666667,23.31,2.704166666666667,22.276666666666664,2.006666666666667,53848.34533333334,Ag,None,39.9485,-83.7459,3.0683333333333316
271,CBR,Nostocales,199907,2734.7684,24.037499999999998,27.46,1.5166666666666666,25.374193548387098,1.9064516129032258,52862.88677419355,Ag,None,39.9485,-83.7459,3.422500000000003
272,CBR,Nostocales,199909,1287.003,20.814285714285717,21.575,3.314285714285714,19.623333333333335,0.9066666666666667,44845.880666666664,Ag,None,39.9485,-83.7459,0.7607142857142826
273,CBR,Nostocales,200006,38.02733333333333,21.21,23.39,2.755,21.21333333333333,2.8866666666666663,53863.098333333335,Ag,None,39.9485,-83.7459,2.1799999999999997
274,CBR,Nostocales,200007,738.0405,23.662499999999998,24.683333333333334,2.1958333333333333,21.403225806451612,4.425806451612904,52801.11806451613,Ag,None,39.9485,-83.7459,1.0208333333333357
275,CBR,Nostocales,200009,318.125,22.162499999999998,22.97,3.3899999999999997,17.39333333333333,2.7866666666666666,44727.30566666667,Ag,None,39.9485,-83.7459,0.807500000000001
276,CBR,Nostocales,200106,4.313,17.504761904761903,23.2125,3.2047619047619045,20.35,2.7,53858.587999999996,Ag,None,39.9485,-83.7459,5.707738095238096
277,CBR,Nostocales,200206,150.29516666666666,20.150000000000002,23.9,4.120833333333333,22.15,3.1333333333333333,53854.127,Ag,None,39.9485,-83.7459,3.7499999999999964
278,CBR,Nostocales,200207,68.41466666666666,23.099999999999998,26.6625,2.110526315789474,24.812903225806455,1.7580645161290323,52841.677741935484,Ag,None,39.9485,-83.7459,3.5625000000000036
279,CBR,Nostocales,200208,1560.6301666666666,25.745833333333334,26.169999999999998,6.4125000000000005,24.067741935483873,1.5903225806451613,49332.08903225807,Ag,None,39.9485,-83.7459,0.4241666666666646
280,CBR,Nostocales,200306,127.95060000000001,18.770833333333332,19.75,7.473333333333334,19.123333333333335,3.063333333333333,53850.490333333335,Ag,None,39.9485,-83.7459,0.9791666666666679
281,CBR,Nostocales,200307,293.72339999999997,23.1125,25.03,2.7254166666666664,22.151612903225807,5.203225806451614,52861.61806451613,Ag,None,39.9485,-83.7459,1.9175000000000004
282,CBR,Nostocales,200308,401.0705555555556,24.108695652173914,25.98,3.005217391304348,22.55483870967742,3.574193548387097,49364.82838709677,Ag,None,39.9485,-83.7459,1.8713043478260865
283,CBR,Nostocales,200406,556.8008633342857,21.9875,22.82,3.109166666666667,20.41,2.3266666666666667,53864.87566666667,Ag,None,39.9485,-83.7459,0.8324999999999996
284,CBR,Nostocales,200407,149.20328663840002,23.900000000000002,24.8625,4.1078947368421055,21.96451612903226,3.829032258064516,52799.47806451613,Ag,None,39.9485,-83.7459,0.9624999999999986
285,CBR,Nostocales,200408,2343.12272727275,22.712,23.56,3.418,20.596774193548388,2.061290322580645,49262.29612903226,Ag,None,39.9485,-83.7459,0.847999999999999
286,CBR,Nostocales,200409,3051.4092910847503,18.625,22.3125,6.471666666666667,19.136666666666667,1.8033333333333335,44721.609333333334,Ag,None,39.9485,-83.7459,3.6875
287,CBR,Nostocales,200508,11447.263375,23.763157894736842,25.537499999999998,1.2984210526315791,24.248387096774195,4.551612903225807,49296.05064516129,Ag,None,39.9485,-83.7459,1.7743421052631554
288,CBR,Nostocales,200606,108.673,18.258333333333333,23.330000000000002,0.8191666666666667,19.94,3.6166666666666667,53855.53433333334,Ag,None,39.9485,-83.7459,5.071666666666669
